title,date,pr_number,link,content
Becton Dickinson to Pay $175 Million for Misleading Investors About Alaris Infusion Pump,"Dec. 16, 2024",2024-201,https://www.sec.gov/newsroom/press-releases/2024-201,"The Securities and Exchange Commission today announced settled charges against Becton, Dickinson and Company, a New Jersey-based medical device manufacturer known as BD, for repeatedly misleading investors about risks associated with its continued sales of its Alaris infusion pump and for overstating its income by failing to record the costs of fixing multiple software flaws with the pump. BD agreed to pay a $175 million civil penalty. 

 According to the SEC’s order, BD determined in 2016 that software changes made to the Alaris pump required regulatory clearance from the Food and Drug Administration (FDA). However, BD did not have the data required for clearance, and generating the data would delay the release of new features, so BD continued selling the pump without clearance. By January 2019, BD identified more than 25 flaws in the pump’s software that its experts categorized as presenting risks of the greatest potential harm to patients. Rather than inform investors that these issues heightened the risk that the FDA would limit BD’s ability to continue selling Alaris—a product whose sales contributed about 10 percent of BD’s profits—BD made misleading statements in its periodic reports about its regulatory risks. 

 The order finds that BD revealed Alaris’s software flaws to the FDA in October 2019 and proposed that the agency allow it to continue selling the pump while it worked to fix the flaws and complete the lengthy FDA clearance process. The FDA firmly rejected this proposal so BD immediately stopped shipping Alaris. But several days later, BD decided it would resume shipping the pump after fixing its software flaws – without FDA clearance. During an earnings call in early November 2019, BD misleadingly told investors that it was pausing Alaris sales to make “some improvements” to the pump as part of its strategy to “continually iterate and make enhancements to the platform.” BD also made financial forecasts for fiscal year 2020 without warning investors that those forecasts were based on conjecture that the FDA would allow BD to resume sales of Alaris without clearance. 

 The order finds that, in mid-November, BD changed its plan; it would resume shipping Alaris with a new version of the software that would exclude fixes that required FDA clearance. This meant BD would not fix several flaws the FDA had expressed significant concerns about, making it even less likely that the agency would allow BD to fully resume Alaris sales. Nevertheless, during subsequent investor conferences in November and December 2019, BD echoed its prior misleading statements. 

 The order finds that BD resumed shipping Alaris with the new software in December 2019 without any indication from the FDA that it concurred with this approach. After the FDA learned in January 2020 what BD had done, the agency warned that BD’s decision to resume selling Alaris was “misaligned with our previous conversations regarding your software issues and our mutual agreement that your firm should not be distributing devices to new customers.” BD reinstated the ship hold and understood there would likely be a materially negative impact on the company’s revenue in fiscal year 2020. Nevertheless, during its subsequent annual shareholders meeting in late January 2020, BD again reaffirmed its prior fiscal year 2020 revenue guidance. BD finally told investors in February 2020 that it had ceased shipping Alaris and would not resume normal sales until it had completed the lengthy FDA clearance process. Its share price subsequently declined 12 percent. Following the announcement, one analyst texted a senior member of BD’s investor relations group, “I do not understand what happened here. 10 days ago we heard everything in pumps was ok and back on market and better than expected . . . I’m stunned and have a lot of angry people with pitchforks.” 

 “BD repeatedly painted a misleading picture of its Alaris infusion pump for investors and then doubled down by keeping them in the dark when the device’s issues came to a head with the FDA in late 2019,” said Sanjay Wadhwa, Acting Director of the SEC’s Division of Enforcement. “Public companies have a fundamental duty to accurately disclose material business risks and should expect to be held accountable when they fall short in that regard.” 

 The SEC’s order finds that BD materially overstated its operating income in FY2019 by failing to properly account for the costs of remediating Alaris to fix the software flaws, resulting in the company overstating its operating income in the fourth quarter of fiscal year 2019 by 82 percent. 

 The SEC’s order finds that BD violated antifraud, reporting, internal accounting controls, books and records, and disclosure controls provisions of the federal securities laws. Without admitting or denying the SEC’s findings, BD agreed to cease and desist from further violations of these provisions, to retain an independent compliance consultant to review and make recommendations concerning its disclosure controls and procedures, and to the civil penalty referenced above. 

 The SEC’s investigation was conducted by Benjamin Perlman, Kia Grant-Smith, Ryan Leonard, and Michael Peterson, and supervised by Rami Sibay."
"SEC Modernizes the Submission of Certain Forms, Filings, and Materials Under the Securities Exchange Act of 1934","Dec. 16, 2024",2024-202,https://www.sec.gov/newsroom/press-releases/2024-202,"The Securities and Exchange Commission today adopted amendments to require the electronic filing, submission, or posting of certain forms, filings, and other submissions that national securities exchanges, national securities associations, clearing agencies, broker-dealers, security-based swap dealers, and major security-based swap participants make with the Commission.  

 ""Today’s amendments build on more than 20 years of Commission actions to modernize filing and recordkeeping requirements,"" said SEC Chair Gary Gensler. ""I'm pleased that the Commission has taken the next step towards updating our requirements for the digital age."" 

 Prior to today’s amendments, registrants filed with, or otherwise submitted to, the Commission many Exchange Act forms, filings, or other materials in paper form. Under the amendments, registrants will make these filings and submissions electronically using the Commission’s EDGAR system, in structured data format where appropriate, or by posting them online. The Commission is also adopting amendments regarding the Financial and Operational Combined Uniform Single (FOCUS) Report to harmonize with other rules and forms, make technical corrections, and provide clarifications.  

 The adopting release  is published on SEC.gov  and will be published in the Federal Register. The effective date for these amendments is 60 days after the release is published in the Federal Register. The compliance dates for these amendments vary depending on the applicable form or rule but range from 60 days after the release is published in the Federal Register to on or after June 30, 2028."
"SEC Charges Express, Inc. with Failing to Disclose Nearly $1 Million in Perks Provided to Former CEO","Dec. 17, 2024",2024-203,https://www.sec.gov/newsroom/press-releases/2024-203,"The Securities and Exchange Commission today announced settled charges against Ohio-based Express, Inc., a multi-brand American fashion retailer, for failing to disclose executive compensation it paid to its now former CEO. 

 According to the SEC’s order, in definitive proxy statements for fiscal years 2019, 2020, and 2021, Express failed to disclose $979,269 worth of perks and personal benefits provided to its CEO, including certain expenses associated with the CEO’s authorized use of chartered aircraft for personal purposes. As a result, the company, which filed for Chapter 11 bankruptcy earlier this year, understated the “All Other Compensation” portion of its CEO’s compensation by an average of 94 percent over the three fiscal years.      

 “Public companies have a duty to comply with their disclosure obligations regarding executive compensation, including perks and personal benefits, so that investors can make educated investment decisions,” said Sanjay Wadhwa, Acting Director of the SEC’s Division of Enforcement. “Here, although Express fell short in carrying out its obligation, the Commission declined to impose a civil penalty based, in part, on the company’s self-report, cooperation with the staff’s investigation, and remedial efforts.” 

 The SEC’s order finds that Express violated Sections 13(a) and 14(a) of the Securities Exchange Act of 1934 and Rules 12b-20, 13a-1, 13a-15(a), 14a-3, and 14a-9 thereunder. Without admitting or denying the SEC’s findings, Express agreed to a cease-and-desist order. 

 The SEC’s investigation was conducted in the Chicago Regional Office by Ruta G. Dudenas and Ann Tushaus, and supervised by Amy S. Cotter."
SEC Approves 2025 PCAOB Budget and Accounting Support Fee,"Dec. 18, 2024",2024-204,https://www.sec.gov/newsroom/press-releases/2024-204,"The Securities and Exchange Commission voted today to approve the 2025 budget of the Public Company Accounting Oversight Board (PCAOB) and the related annual accounting support fee. 

 The 2025 PCAOB budget totals $399.7 million. The accounting support fee totals $374.9 million, of which $346.1 million will be assessed on public company issuers and $28.8 million will be assessed on registered broker-dealers.  

 “Well-functioning financial markets are built on trust,” said SEC Chair Gary Gensler. “Critical to such trust are disclosures – including financial statement disclosures made by issuers and broker-dealers to the investing public. I have seen since the passage of Sarbanes-Oxley 22 years ago the importance of that law in promoting trust in public company figures. This trust, though, can easily be taken for granted. The PCAOB – an important reform of the George W. Bush Administration – writes the standards for auditors and audits the auditors. That’s the core of what it does, and it’s every bit as important now and into the future.” 

 “I am confident in the Board’s ability to continue to act as a diligent and responsible steward of publicly sourced accounting support fees, as evidenced by their accomplishments this past year,” said SEC Chief Accountant Paul Munter. 

 The Sarbanes-Oxley Act of 2002, which established the PCAOB, provides the Commission with oversight responsibility over the PCAOB. This includes reviewing and approving the PCAOB’s budget and accounting support fee annually."
Global Aerospace Company AAR and Former Executive of its Subsidiary Settle Charges for Bribing Nepalese and South African Officials,"Dec. 19, 2024",2024-205,https://www.sec.gov/newsroom/press-releases/2024-205,"The Securities and Exchange Commission today announced that Illinois-based AAR CORP., a global provider of aviation services and products, agreed to resolve Foreign Corrupt Practices Act (FCPA) charges in connection with two bribery schemes. AAR agreed to pay approximately $30 million to settle the SEC’s charges. Deepak Sharma, a former executive of a wholly owned AAR subsidiary, also settled SEC charges related to the same bribery schemes. 

 According to the SEC’s order, from 2015 through 2018, Deepak Sharma, who at the time was President of International Supply Chain of an AAR subsidiary, orchestrated and implemented a bribery scheme to win a contract for the sale of two Airbus A330 aircraft, valued at approximately $210 million, to Nepal Airlines, a government-owned airline. The SEC’s order finds that, as part of the scheme, AAR retained a third-party agent to pay bribes to officials who had control over the contract. According to the order, Sharma was also involved in a bribery scheme involving a contract for AAR to provide aviation services to a subsidiary of government-owned South African Airways. The SEC’s order finds that AAR paid millions of dollars in bribes to Nepalese and South African officials as part of the two schemes. 

 “Here, the bribes schemes took place in both Nepal and South Africa, reflecting that a deficient control environment creates fertile ground for mischief that can cross borders,” said Charles Cain, Chief of the SEC’s FCPA Unit. “This matter serves as another reminder that companies must have robust compliance and accounting controls that are commensurate with the FCPA risks they face, including with respect to their work with third parties across their business operations.” 

 AAR consented to the SEC’s order finding that it violated the anti-bribery, recordkeeping, and internal accounting controls provisions of the FCPA, and ordering it to pay $29,236,624 in disgorgement and in prejudgment interest. In a parallel action, the U.S. Department of Justice announced today that it has entered into a non-prosecution agreement with AAR in which AAR agreed to pay a $26,363,029 criminal penalty. 

 Sharma consented to an SEC order finding that he violated the anti-bribery, recordkeeping, and internal accounting controls provisions of the FCPA and ordering him to pay $184,597 in disgorgement and prejudgment interest, $130,835 of which is deemed satisfied by a forfeiture order in a prior agreement with the U.S. Department of Justice. 

 The SEC’s investigation was conducted by Michelle I. Bougdanos, Jon B. Jordan, Shahriar Masud, and Sonali Singh, and supervised by David Frohlich and Thierry Olivier Desmet. The SEC acknowledges the assistance of the Hong Kong Securities and Futures Commission and the Financial Sector Conduct Authority of South Africa."
SEC Charges Utility Company Entergy Corp. with Internal Accounting Controls Violations,"Dec. 20, 2024",2024-206,https://www.sec.gov/newsroom/press-releases/2024-206,"The Securities and Exchange Commission today announced that Entergy Corporation, a Louisiana-based utility company, agreed to pay a $12 million civil penalty to settle charges that it failed to maintain internal accounting controls to ensure that its surplus materials and supplies were accurately recorded in its books and financial statements in accordance with generally accepted accounting principles (GAAP). 

 According to the SEC’s complaint, filed in the U.S. District Court for the District of Columbia, from at least mid-2018 to the present, Entergy included materials and supplies at their average cost as an asset on its balance sheets. However, during this time, Entergy had allegedly been informed by its employees and management consultants that this asset included a substantial amount of potential surplus, including aged materials and supplies in excess of Entergy’s anticipated future use or exceeding the maximum stocking levels deemed necessary by its business units. According to the complaint, Entergy failed to establish a comprehensive process to review these materials and supplies to identify surplus, remeasure it, and record any differences between its average cost and remeasured cost as an expense, in accordance with GAAP. 

 “Internal accounting controls serve as a front-line defense in ensuring the accuracy and reliability of financial statements,” said Sanjay Wadhwa, Acting Director of the SEC’s Division of Enforcement. “Investors rely on public companies, such as Entergy, to ensure that adequate internal accounting controls are in place. We allege that Entergy failed to fulfill its obligation in this regard.” 

 Without admitting or denying the allegations in the SEC's complaint, Entergy consented to the entry of a final judgment, subject to court approval, which includes being permanently enjoined from violating Sections 13(b)(2)(A) and 13(b)(2)(B) of the Securities Exchange Act of 1934, paying the $12 million civil penalty referenced above, and adopting an independent consultant’s recommended improvements to its internal accounting controls. 

 The SEC's investigation was conducted by Ada Fernandez Johnson, Katherine H. Stella, and Brian Palechek under the supervision of Lisa Deitch, Peter Rosario, Ryan Wolfe, and Stacy Bogert, with the assistance of Carina Cuellar and Christopher Bruckmann."
Wells Fargo and LPL Financial Charged for Submitting Deficient Trading Data to SEC,"Dec. 20, 2024",2024-207,https://www.sec.gov/newsroom/press-releases/2024-207,"The Securities and Exchange Commission today announced settled charges against Wells Fargo Clearing Services LLC and LPL Financial LLC for failing to provide complete and accurate securities trading information, known as blue sheet data, to the SEC. Wells Fargo and LPL each agreed to pay a $900,000 civil penalty to resolve the SEC's charges. 

 According to the SEC’s orders, over a period of several years, Wells Fargo and LPL each made numerous blue sheet submissions to the SEC that contained inaccurate or missing information about securities transactions and the firms or customers involved in the transactions, as well as other deficiencies. The SEC’s order against Wells Fargo finds that, as a result of approximately 15 types of errors, Wells Fargo made approximately 11,195 blue sheet submissions to the SEC that contained missing or inaccurate data for at least 10.6 million total transactions. The SEC’s order against LPL finds that, as a result of 10 types of errors, LPL made at least 3,679 blue sheet submissions that contained misreported or missing data for at least 399,000 total transactions. 

 The SEC's orders find that Wells Fargo and LPL both engaged in remedial efforts to correct and improve their blue sheet reporting systems and controls, including retaining outside consultants to conduct reviews of their respective blue sheet reporting programs, as well as improving their respective governance frameworks and validation procedures for blue sheet submissions. The orders note that Wells Fargo self-identified and self-reported all but one of the errors affecting its blue sheet submissions. 

 “We use blue sheet data to detect wrongdoing and to protect investors through our enforcement efforts,” said Thomas P. Smith, Jr., Associate Regional Director in the New York Regional Office. “These orders underscore the importance of the obligation to provide accurate and complete blue sheet data to the SEC. Additionally, these resolutions highlight the benefits of self-reporting, remediation, and cooperation when firms detect violations.” 

 The SEC orders find that Wells Fargo and LPL violated the broker-dealer recordkeeping and reporting provisions of the federal securities laws. Wells Fargo and LPL each admitted the findings in the respective orders and agreed to be censured and to each pay a $900,000 penalty. 

 Separately, the Financial Industry Regulatory Authority (FINRA) reached settlements with Wells Fargo and LPL for related conduct. 

 The SEC’s investigation of Wells Fargo was conducted by Eric Taffet and Lindsay S. Moilanen of the New York Regional Office. The SEC’s investigation of LPL was conducted by Zheng (Jane) He, Suzanne M. Bettis, and Ms. Moilanen of the New York Regional Office. Both investigations were supervised by Mr. Smith. The SEC appreciates the assistance of FINRA."
Deutsche Bank Subsidiary to Pay $4 Million for Untimely Filing Certain Suspicious Activity Reports,"Dec. 20, 2024",2024-208,https://www.sec.gov/newsroom/press-releases/2024-208,"The Securities and Exchange Commission today charged registered broker-dealer Deutsche Bank Securities Inc., a subsidiary of Deutsche Bank AG, for failing to file certain Suspicious Activity Reports (SARs) in a timely manner. Deutsche Bank Securities has agreed to pay a $4 million civil penalty to settle the SEC’s charges. 

 Broker-dealers are required by the Bank Secrecy Act and regulations promulgated by the U.S Department of the Treasury’s Financial Crimes Enforcement Network to file SARs for transactions they have reason to suspect involve funds derived from illegal activity, lack a business or apparent lawful purpose, or are intended to facilitate criminal activity. 

 According to the SEC’s order, Deutsche Bank Securities received requests in connection with law enforcement or regulatory investigations or litigation that prompted it to conduct SARs investigations.  However, the SEC’s order finds that, in certain instances from April 2019 to March 2024, Deutsche Bank Securities failed to conduct or complete the investigations within a reasonable period of time, including at least two instances where Deutsche Bank Securities took more than two years to file the SARs. 

 “Even the best information collected from SARs is of limited use if its stale by the time it’s provided to law enforcement,” said Sheldon L. Pollock, Associate Director of the SEC’s New York Regional Office. “Through this enforcement action, we are not only holding Deutsche Bank Securities accountable, we are also sending a clear message to other market registrants that timeliness in filing SARs is of paramount importance.” 

 The SEC’s order finds that Deutsche Bank Securities violated Section 17(a) of the Securities Exchange Act and Rule 17a-8 thereunder. Without admitting or denying the SEC’s findings, Deutsche Bank Securities agreed to a censure, a cease-and-desist order, and the civil penalty referenced above. 

 The SEC’s investigation was conducted by Alicia Guo, Joshua Tannen, and Steven G. Rawlings of the SEC’s New York Regional Office, and Joy Guo of the Boston Regional Office, with assistance from Daniel Goldberg, Andrae Eccles, Damon Reed, David Cohen, Susan Schneider, and Naomi Sevilla of the Office of Market Intelligence’s Bank Secrecy Act Review Group. The investigation was supervised by Mr. Pollock. The examination that led to the investigation of Deutsche Bank Securities was conducted by Dwight Fu and Lisa Jordan of the Division of Examinations."
SEC Charges Silver Point Capital with Policy Failures Regarding Receipt of Material Nonpublic Information About Bonds Issued by Puerto Rico,"Dec. 20, 2024",2024-209,https://www.sec.gov/newsroom/press-releases/2024-209,"The Securities and Exchange Commission today charged registered investment adviser Silver Point Capital L.P. with failing to establish, implement, and enforce written policies and procedures reasonably designed to prevent the misuse of material nonpublic information (MNPI) relating to its participation on creditors’ committees. 

 According to the SEC’s complaint, one of Silver Point’s core strategies was to invest in distressed companies. As part of this strategy, and because of the nature of its business, a long-time Silver Point consultant, a now-deceased lawyer, participated on creditors' committees of those distressed companies on Silver Point’s behalf. However, the SEC alleges, the firm failed to enforce policies and procedures that were reasonably designed to address the specific risks associated with the consultant’s receipt of MNPI as a result of his participation on creditors’ committees. 

 Specifically, the SEC alleges that, from September 2019 through February 2020, the consultant sat on an ad hoc creditors’ committee in connection with the restructuring of Puerto Rico’s defaulted municipal bonds and received MNPI from a related confidential mediation. According to the complaint, the consultant had extensive communications with Silver Point’s public trading desk, without involving the firm’s compliance department, at times when he had MNPI from the mediation and while Silver Point continued to buy Puerto Rico bonds. According to the SEC, this created a substantial risk that Silver Point may have misused information from the mediation in connection with its trading of Puerto Rico bonds. 

 “Silver Point is alleged to have purchased over $260 million of Puerto Rico bonds during the same period that a Silver Point consultant, who possessed MNPI about the  same  Puerto Rico bonds, had more than five hundred calls with firm employees, including those who actively traded such debt, without involving the firm’s compliance department,” said Sanjay Wadhwa, Acting Director of the SEC’s Division of Enforcement. “Allowing individuals who possess MNPI to have unfettered access to those making trading decisions presents an enhanced risk of misuse of MNPI, and the resulting risks to market integrity and investors are compounded when investment advisers fail to enforce their compliance policies and procedures to prevent the misuse of MNPI.” 

 The SEC’s complaint, filed in the U.S. District Court for the District of Connecticut, charges Silver Point with violating provisions of the Investment Advisers Act of 1940 related to establishing and enforcing reasonably designed compliance policies and procedures. 

 The SEC’s investigation was conducted by Sally Hewitt, Heidi M. Mitza, and Jonathan Wilcox of the Public Finance Abuse Unit and Annie Hancock of the Asset Management Unit and supervised by Kevin B. Currid. The SEC’s litigation will be led by Susan Cooke and Michael Moran of the Boston Regional Office. 

 
 Update:  On April 4, 2025, the SEC  announced the dismissal  of this civil enforcement action against Silver Point Capital. 

 
	 Joint Stipulation to Dismiss"
SEC Charges Cumberland DRW for Operating as an Unregistered Dealer in the Crypto Asset Markets,"Oct. 10, 2024",2024-169,https://www.sec.gov/newsroom/press-releases/2024-169,"The Securities and Exchange Commission today charged Chicago-based Cumberland DRW LLC with operating as an unregistered dealer in more than $2 billion of crypto assets offered and sold as securities, in violation of the registration requirements of the federal securities laws that are designed to protect investors. 

 According to the SEC’s complaint, since at least March 2018 through the present, Cumberland has acted as an unregistered dealer by buying and selling crypto assets offered and sold as securities for its own accounts as part of its regular business. As alleged in the complaint, Cumberland publicly calls itself “one of the world’s leading liquidity providers” in crypto assets and operates 24 hours a day, seven days a week by trading with counterparties by the telephone or through its online trading platform, Marea. The SEC’s complaint further alleges that Cumberland engages in trading crypto assets that are offered and sold as investment contracts on third-party crypto asset exchanges as part of its regular business. 

 “The federal securities laws require all dealers in all securities to register with the Commission, and those who operate in the crypto asset markets are no exception,” said Jorge G. Tenreiro, Acting Chief of the SEC’s Crypto Assets and Cyber Unit (CACU). “Despite frequent protestations by the industry that sales of crypto assets are all akin to sales of commodities, our complaint alleges that Cumberland, the respective issuers, and objective investors treated the offer and sale of the crypto assets at issue in this case as investments in securities, and Cumberland profited from its dealer activity in these assets without providing investors and the market with the important protections afforded by registration.” 

 The SEC’s complaint, filed in U.S. District Court for the Northern District of Illinois, charges Cumberland with violating Section 15(a) of the Securities Exchange Act of 1934. The complaint seeks permanent injunctive relief, disgorgement of ill-gotten gains, prejudgment interest, and civil penalties. 

 The SEC’s investigation was conducted by Andrew McFall of the SEC’s Market Abuse Unit and Kathleen Hitchins of the CACU and supervised by Amy Flaherty Hartman, Paul Kim, and Mr. Tenreiro of the CACU. The SEC’s litigation will be led by Christopher Martin and Timothy Stockwell and supervised by Jack Kaufman and Mr. Tenreiro."
SEC Charges U.S.-Based Moog Inc. with FCPA Violations for Subsidiary’s Role in Indian Bribery Scheme,"Oct. 11, 2024",2024-170,https://www.sec.gov/newsroom/press-releases/2024-170,"The Securities and Exchange Commission today announced that Moog Inc., a New York-based global manufacturer of motion controls systems for aerospace, defense, industrial and medical markets, agreed to pay a civil penalty of $1.1 million to resolve the SEC’s charges that it violated the Foreign Corrupt Practices Act (FCPA) arising out of bribes paid by its wholly owned Indian subsidiary, Moog Motion Controls Private Limited (Moog Motion Controls). 

 The SEC’s order finds that, from 2020 through 2022, Moog Motion Controls employees bribed a variety of Indian officials to win business and also used a variety of schemes to make the improper payments, including by funneling them through third-party agents and distributors. These same Moog Motion Controls employees also offered cash bribes to Indian officials in an attempt to cause public tenders in India to favor Moog’s products and exclude competitors. 

 “The SEC’s action against Moog highlights the need for issuers operating internationally to have appropriate compliance and internal accounting controls over third parties and third-party payments, as weaknesses in those systems heighten corruption risk,” said Charles E. Cain, Chief of the SEC Enforcement Division’s FCPA Unit. 

 The SEC’s order found that Moog violated the recordkeeping and internal accounting controls provisions of the FCPA. Without admitting or denying the SEC’s findings, Moog consented to the entry of the SEC’s order requiring it to cease and desist from committing or causing any future violations and agreed to pay disgorgement and prejudgment interest totaling nearly $600,000, and a civil penalty of $1.1 million. 

 The SEC’s investigation was conducted by Irene Gutierrez, Michelle L. Ramos, Maria F. Boodoo, and Tracy L. Price of the SEC’s FCPA Unit."
SEC Charges Virginia-Based RTX Corp. with Violating Foreign Corrupt Practices Act in Connection with Efforts to Obtain Contracts with the Qatari Military,"Oct. 16, 2024",2024-171,https://www.sec.gov/newsroom/press-releases/2024-171,"The Securities and Exchange Commission today announced that RTX Corporation, a Virginia-based aerospace and defense company, agreed to pay more than $124 million to resolve charges that it violated the Foreign Corrupt Practices Act (FCPA) in connection with payments made to assist in obtaining contracts with the Qatari military. RTX, which was named Raytheon Technologies Corp. until 2023, was formed after the 2020 merger of Raytheon Company and United Technologies Corp. (collectively, Raytheon). 

 According to the SEC’s order, Raytheon used sham subcontracts with a supplier to pay bribes of nearly $2 million to Qatari military and other officials from 2011 to 2017 to obtain Qatari military defense contracts. Additionally, the order finds that from the early 2000s into 2020, Raytheon paid more than $30 million to a Qatari agent who was a relative of the Qatari Emir and who, despite being retained as Raytheon’s representative in Qatar, had no prior background in military defense contracting. Raytheon obtained additional defense contracts through the agent under circumstances with significant corruption risks. The order finds that Raytheon continued working with the agent even after numerous Raytheon employees raised concerns about risks of corruption and despite a lack of adequate documentation of the agent’s services. 

 ""The penalty in this case reflects the significant misconduct by Raytheon and the need for global companies to implement meaningful internal accounting controls that ensure that payments to intermediaries are not used to circumvent the restrictions of the FCPA,” said Charles E. Cain, Chief of the SEC Enforcement Division’s FCPA Unit.  

 The SEC’s order finds that Raytheon violated the antibribery, internal accounting controls, and books and records provisions of the FCPA. Raytheon consented to the entry of the SEC’s order requiring it to cease and desist from committing or causing any future violations and to pay disgorgement and prejudgment interest of approximately $49 million and a civil penalty of $75 million, $22.5 million of which will be offset by a criminal fine in a parallel criminal action. As part of the resolution, Raytheon must retain an independent compliance monitor for three years.  

 The SEC’s investigation was conducted by Irene Gutierrez, Ilana Z. Sultan, Eric Heining, Sonali Singh, and Tracy L. Price of the SEC’s FCPA Unit."
SEC Division of Examinations Announces 2025 Priorities,"Oct. 21, 2024",2024-172,https://www.sec.gov/newsroom/press-releases/2024-172,"The Securities and Exchange Commission’s Division of Examinations today released its  2025 examination priorities . The Division publishes its examination priorities annually to inform investors and registrants of potential risks in the U.S. capital markets and to make them aware of the examination topics that the Division plans to focus on in the new fiscal year. This year’s examinations will prioritize perennial and emerging risk areas, such as fiduciary duty, standards of conduct, cybersecurity, and artificial intelligence. 

 “The Division of Examinations 2025 priorities enhance trust in our ever-evolving markets,” said SEC Chair Gary Gensler. “In examining for compliance with our time-tested rules, the Division plays a critical role in protecting investors and facilitating capital formation. Working with registrants to understand the rules helps ensure that markets work for investors and issuers alike.” 

 “Our 2025 examination priorities identify the key areas of potentially increased risks and related harm for investors,” said Keith Cassidy, Acting Director of the Division of Examinations. “We hope that registrants will evaluate their compliance programs in the areas we identified and make the changes necessary to protect investors and maintain fair and orderly capital markets.” 

 The Division examines SEC-registered investment advisers, investment companies, broker-dealers, clearing agencies, and self-regulatory organizations, among others, for compliance with federal securities laws. The Division prioritizes examinations of the practices, products, and services that were found, through a risk-based assessment, to present a heightened risk to investors or the integrity of the U.S. capital markets. The annual publication of the examination priorities furthers the SEC’s mission and aligns with the Division’s four pillars to promote and improve compliance, prevent fraud, monitor risk, and inform policy. 

 For fiscal year 2025, in addition to conducting examinations in core areas such as disclosures and governance practices, the Division will also examine for compliance with new rules, the use of emerging technologies, and the soundness of controls intended to protect investor information, records, and assets. 

 The 2025 examination priorities cover a broad landscape of potential risks to investors that firms should consider as they review and strengthen their compliance programs. They are not, however, an exhaustive list of all the areas the Division will focus on in the upcoming year.  The scope of any examination includes analysis of other risk factors such as an entity’s history, operations, and products and services."
SEC Charges Advisory Firm WisdomTree with Failing to Adhere to Its Own Investment Criteria For ESG-Marketed Funds,"Oct. 21, 2024",2024-173,https://www.sec.gov/newsroom/press-releases/2024-173,"The Securities and Exchange Commission today charged New York-based investment adviser WisdomTree Asset Management Inc. with making misstatements and for compliance failures relating to the execution of an investment strategy that was marketed as incorporating environmental, social, and governance (ESG) factors. 

 According to the SEC’s order, from March 2020 until November 2022, WisdomTree represented in prospectuses for three ESG-marketed exchange-traded funds, and to the board of trustees overseeing the funds, that the funds would not invest in companies involved in certain products or activities, including fossil fuels and tobacco. However, the SEC’s order finds that the ESG-marketed funds invested in companies that were involved in fossil fuels and tobacco, including in coal mining and transportation, natural gas extraction and distribution, and retail sales of tobacco products. According to the SEC’s order, WisdomTree used data from third-party vendors that did not screen out all companies involved in fossil fuel and tobacco-related activities. The SEC’s order further finds that WisdomTree did not have any policies and procedures over the screening process to exclude such companies. 

 “At a fundamental level, the federal securities laws enforce a straightforward proposition: investment advisers must do what they say and say what they do,” said Sanjay Wadhwa, Acting Director of the SEC’s Division of Enforcement. “When investment advisers represent that they will follow particular investment criteria, whether that is investing in, or refraining from investing in, companies involved in certain activities, they have to adhere to that criteria and appropriately disclose any limitations or exceptions to such criteria. By contrast, the funds at issue in today’s enforcement action made precisely the types of investments that investors would not have expected them to based on WisdomTree’s disclosures.” 

 WisdomTree consented to the entry of the SEC’s order finding that it violated the antifraud provisions of the Investment Advisers Act of 1940 and the Investment Company Act of 1940, and the compliance rule in the Investment Advisers Act. Without admitting or denying the SEC’s findings, WisdomTree agreed to a cease-and-desist order and censure and to pay a $4 million civil penalty. 

 The SEC’s investigation was conducted by Salvatore Massa and Joshua Tannen, and was supervised by Lee A. Greenwood, Andrew Dean, and Corey Schuster, all from the Enforcement Division’s Asset Management Unit. Russell Feldman and Daniel Loss of the Enforcement Division’s New York Regional Office provided assistance in the matter. The examination that led to the investigation was conducted by Arjuman Sultana, Majid S. Mahmood, Lev Miller, and Margaret Pottanat of the Division of Examinations."
